Animal,Epoch,Cell,Theta_deg_all,Theta_Pval_all,before_distance_all,after_distance_all,Number_events_all,Theta_deg_ctr,Theta_Pval_ctr,before_distance_ctr,after_distance_ctr,Number_events_ctr,Theta_deg_nov,Theta_Pval_nov,before_distance_nov,after_distance_nov,Number_events_nov,Theta_deg_ptnr,Theta_Pval_ptnr,before_distance_ptnr,after_distance_ptnr,Number_events_ptnr,Dev_Nov_post,Pval_Nov_post,Dev_Ptnr_post,Pval_Ptnr_post,Dev_Nov_pre,P_val_Nov_pre,Dev_Ptnr_pre,P_val_Ptnr_pre,Napp_05,Papp_05,N_ongoing_motion,P_ongoing_motion,newvar,P_app_categories,N_app_categories,P_app_dep_cells,N_app_dep
440,1,1,80.9588076923077,14.6,.212014117680056,34.1260586825977,26,64.9864210526316,.8,.232594066992291,30.2832296824497,19, , , , ,0,109.437,71.9,3.94248652502453,207.660532600685,7, , ,-.634173652,19.6, , ,1.68467121,96.9, ,0, ,0,0,0,1,0, 
440,1,2,85.2020869565217,24.6,.301496268633638,31.3921407361779,23,111.10325,90.2,4.38234354872102,50.6766657974185,16, , , , ,0,83.7568571428571,27.1,31.5681516722155,187.794040374023,7, , ,.95328913,87, , ,-.503972955,25, ,0, ,0,0,0,1,0, 
440,1,3,49.1756666666667,4.7,14.0729554524003,226.891552096077,6,11.549,9.2,57.6300867603025,221.032291079833,1,131.029,41.8,4.97147865327814,157.484206509732,1,123.97025,84.8,11.4722213346534,268.702509519237,4,-.088608889,60,.708796402,81.9,.288773372,62.4,.120339371,51.9,0,0,0,0,0,0,0,0,0
440,1,4,104.311476190476,76.1,.177200451466712,29.9962614337187,21,78.7555882352941,17,.237697286480112,42.4619971268427,17, , , , ,0,124.08425,84.7,10.2696080429261,115.971537125384,4, , ,-.563806162,24.3, , ,.767605834,83, ,0, ,0,0,0,1,0, 
440,1,5,59.3804444444444,6.4,14.1522613034101,208.978165845143,9,158.417333333333,97,25.2941495211838,188.966680925501,3, , , , ,0,104.760666666667,69.7,23.3295400717627,210.746301436349,6, , ,3.739731779,99.5, , ,2.001245555,97.6, ,0, ,0,0,0,1,2, 
440,1,6,109.920947368421,88.8,1.80427270666051,30.8800259067249,19,137.9616,99.2,6.03347141652384,147.578235735975,10, , , , ,0,128.507,95.8,40.5275461877474,247.087282149446,9, , ,.424734044,72.8, , ,.233159732,58.3, ,0, ,0,0,0,1,0, 
440,1,7,99.0073333333333,61.9,.225132197918668,133.095954845,6,90.015,47.4,.180000000000007,156.979301820336,5, , , , ,0,40.46,21.2,2.10237960416284,314.383286610469,1, , ,1.235063591,95.1, , ,1.083993031,96.3, ,0, ,0,0,0,1,2, 
440,1,9,96.4962631578947,58.3,.842911620515464,29.785610619895,19,91.2954166666667,54.6,.400745263064248,149.107399235995,12, , , , ,0,95.9837142857143,49.6,11.1567244296881,309.680463058295,7, , ,3.156521749,98.8, , ,.866382064,84.7, ,0, ,0,0,0,1,2, 
440,1,10,94.2323076923077,63,2.16171228427834,80.8657857193016,39,83.1069333333333,17.5,5.12885183794675,31.3052511587627,30,176.104,83.1,41.4506948072044,123.716606807655,1,96.0267142857143,47.7,10.311260812645,274.366437324896,8,-.455231777,20.2,-.186807966,41.7,.379536231,72,.35026166,63.8,0,0,0,0,0,0,0,0,0
440,1,11,69.4038333333333,3.3,1.51013244452266,30.495240612266,19,92.7258181818182,53.6,.223606797749966,133.245602178834,11, , , , ,0,115.47625,83,12.9220393759395,93.8813463551203,8, , ,3.765768214,99.3, , ,1.359265669,93.6, ,0, ,0,0,0,1,2, 
440,1,12,106.17975,95.2,.152315462117293,78.3705741972075,41,93.4148421052631,59.7,.244148284101478,56.4411348826318,38, , , , ,0,146.676333333333,95.6,23.1448590404003,292.02873231927,3, , ,2.87563141,98.7, , ,-.039539009,42.4, ,0, ,0,0,0,1,2, 
440,1,13,138.950875,99.2,.396042947095232,151.29083703827,8,103.9865,67.4,.648500281535067,116.566178093733,6, , , , ,0,163.278,96.9,17.3767541066331,29.5977710813998,2, , ,-.203785159,45.1, , ,.119465652,51.6, ,0, ,0,0,0,1,0, 
440,1,14,112.824833333333,93.2,5.73718168262873,115.635180468119,18,103.453545454545,76,19.2377181599066,157.846260963002,11, , , , ,0,120.114285714286,85.9,26.8448952316823,241.940903941438,7, , ,.901682314,85.3, , ,.415315715,72.5, ,0, ,0,0,0,1,0, 
440,1,15,47.3976666666667,11.1,19.5,290.496654025481,3, , , , ,0, , , , ,0,81.3763333333333,31.6,15.5920652897555,282.915634951482,3, , ,2.012207811,95.8, , ,.254425534,66.6, ,0, ,0,0,0,1,2, 
440,1,16,91.616,45.6,.2059784760446,35.2989880351001,20,75.23675,14.2,.72684930759327,98.3160330795446,16,180,95.5,2.88293253476384,2.88293253476384,1,136.537333333333,89.7,114.700679161023,212.513023130348,3,.22095858,78.5,-.223372734,37.7,-1.47385132,6,.526379574,75.4,0,0,0,0,0,0,1,0,0
440,1,17,69.8059333333333,7.6,.296940732035549,51.0047144958212,16,104.01625,78.6,2.60593469691624,126.124792675033,12,151.37,52.4,14.4596438407036,286.040284051041,1,110.064,65.9,29.4843721316904,273.033208969166,3,.301850978,82.6,2.222158821,97.1,.822835854,94.1,.465794767,76.5,0,0,0,0,0,0,0,2,0
440,1,18,83.6864,19.6,3.40274908991438,74.3174017541188,40,98.3009285714286,68.5,.822192191643772,35.7632017582318,29,150.695,50.9,23.1448590404003,293.470218250507,1,89.8566,36.9,5.493936708879,276.012303493821,10,.239391823,83.3,8.289653943,99.9,.123631026,33.8,2.113874374,98.5,0,0,0,0,0,0,0,2,0
440,1,19,72.5021666666667,24.9,3.72255690977599,148.358503956983,6,132.2325,90.6,12.9048884170274,150.639586129638,4, , , , ,0,88.418,43.8,49.0032102839093,278.043434467251,2, , ,1.036141171,90.8, , ,.091933226,47.7, ,0, ,0,0,0,1,0, 
440,1,20,59.6500769230769,3.7,39.1761406981341,134.404198223121,13,106.560818181818,80.1,14.4183910336764,148.845989196888,11, , , , ,0,115.3605,69.6,61.0764666001727,328.531730914807,2, , ,1.677578781,95.6, , ,1.499594498,96.9, ,0, ,0,0,0,1,2, 
440,1,21,89.074,46.3,16.6302271038099,244.225319080229,12,138.94575,94.2,16.7285459235279,156.888941307854,4, ,0,0,0,1,80.1484285714286,23.3,9.23914498208575,273.070177793182,7,-.915375551,4.6,-.108205305,44,-.975210956,8.7,.42766283,74.4,1,0,1,0,0,0,1,0,1
440,1,22,84.1298205128205,20.2,4.01168293861817,69.0337424742422,39,100.319615384615,76.6,1.49939358624556,32.6712786306886,26,131.694,65.6,17.0542272074856,152.713281201332,2,65.3788181818182,4.7,8.59176349767612,263.135901959425,11,-.082845392,58.8,-.493802558,25.5,.02492012,32.1,1.092134361,89.7,0,0,0,0,0,0,0,0,0
440,1,23,93.7078064516129,54.4,.182482875908954,16.7033080555918,31,107.062071428571,90,.251312844687364,33.4863552186685,28, , , , ,0,134.543,88.9,37.6779205901812,75.8700797416215,3, , ,-.300578948,31.4, , ,-.554109789,20.6, ,0, ,0,0,0,1,0, 
440,1,24,95.12025,55.8,13.0026136350317,148.396659089184,8,122.2285,84.5,.611406510469484,125.665280552789,4,180,96.1,1.87256508565121,1.87256508565121,1,76.7863333333333,27.7,5.77033794504273,280.395964485939,3,-.687048496,7.6,.47976138,80.6,-.983023024,7.1,.708963525,83.9,0,0,1,0,0,0,1,0,0
