Var1,Var2,Var3,Var4,Var5
440,1,1,NaN,NaN
440,1,2,NaN,NaN
440,1,3,-0.0886088888788775,60
440,1,4,NaN,NaN
440,1,5,NaN,NaN
440,1,6,NaN,NaN
440,1,7,NaN,NaN
440,1,8,NaN,NaN
440,1,9,NaN,NaN
440,1,10,-0.455231776605321,20.2
440,1,11,NaN,NaN
440,1,12,NaN,NaN
440,1,13,NaN,NaN
440,1,14,NaN,NaN
440,1,15,NaN,NaN
440,1,16,0.220958579612048,78.5
440,1,17,0.301850977849729,82.6
440,1,18,0.239391822899891,83.3
440,1,19,NaN,NaN
440,1,20,NaN,NaN
440,1,21,-0.91537555111125,4.6
440,1,22,-0.0828453916232633,58.8
440,1,23,NaN,NaN
440,1,24,-0.687048495933341,7.6
440,1,25,-0.463289616355845,20.4
440,1,26,NaN,NaN
440,1,27,-0.336289199105139,24.2
440,1,28,NaN,NaN
440,1,29,NaN,NaN
440,1,30,NaN,NaN
440,1,31,NaN,NaN
440,1,32,NaN,NaN
440,1,33,NaN,NaN
440,1,34,NaN,NaN
440,1,35,NaN,NaN
440,1,36,NaN,NaN
440,1,37,NaN,NaN
440,1,38,NaN,NaN
440,1,39,NaN,NaN
440,1,40,-0.187058454128095,45.9
440,1,41,NaN,NaN
440,1,42,NaN,NaN
440,1,43,NaN,NaN
440,1,44,NaN,NaN
440,2,1,NaN,NaN
440,2,2,-0.887980002040615,5.3
440,2,3,0.440090414320695,77.2
440,2,4,-0.708637361236683,18.8
440,2,5,NaN,NaN
440,2,6,0.35544327738654,79.6
440,2,7,NaN,NaN
440,2,8,-0.159318044823218,59.8
440,2,9,NaN,NaN
440,2,10,-0.431311734501082,20.9
440,2,11,-0.367194594243325,29.4
440,2,12,-0.733061277635614,6.3
440,2,13,0.304640218082477,68.5
440,2,14,0.769541376397236,86.2
440,2,15,0.302213358541776,83.9
440,2,16,NaN,NaN
440,2,17,1.41873625514647,93.8
440,2,18,-0.150946705990865,65.9
440,2,19,-0.121182933682396,52.2
440,2,20,1.08267529641016,96.5
440,2,21,3.65618979362877,98.2
440,2,22,1.41681876409851,91.1
440,2,23,NaN,NaN
440,2,24,-0.444749259436172,25
440,3,1,0.162728087213679,76.6
440,3,2,-0.0699821463185238,46.1
440,3,3,-0.259460960900869,26.9
440,3,4,-0.0376072087621342,50.1
440,3,5,-0.321055417439578,23.5
440,3,6,NaN,NaN
440,3,7,0.110592675724372,66.8
440,3,8,0.575372642890469,81.9
440,3,9,0.533427574545918,79.5
440,3,10,0.0430808379809431,55.8
440,3,11,-0.115233976268167,44
440,3,12,0.135983503782161,63.8
440,3,13,-6.29783488235667,0
440,3,14,-0.00535766534141011,54.8
445,1,1,0.734581178493408,83.1
445,1,2,-0.122185909276113,45.2
445,1,3,0.0293719740041769,51.2
445,1,4,-0.114695463459145,45.4
445,1,5,2.1082213402727,96.6
445,1,6,0.120762412471164,56.9
445,1,7,-0.205378220388926,36.9
445,1,8,-0.333243309044444,28.8
445,1,9,-0.992859067140476,12.5
445,1,10,-1.21614492346025,5.5
445,1,11,NaN,NaN
445,1,12,-0.656718421564626,10.7
445,1,13,-0.804272463423585,12.8
445,1,14,-1.10251232379341,11
445,1,15,-0.314067344799507,32.7
445,1,16,0.875358317527833,92.3
445,1,17,0.530155927530076,77.5
445,1,18,-0.40880392852951,26
445,1,19,NaN,NaN
445,1,20,NaN,NaN
445,1,21,-3.35263759660441,0.4
445,1,22,0.431095806482614,77.3
445,1,23,0.422555380597042,78.4
445,1,24,-0.342812336634784,29.8
445,1,25,-1.95058200787767,2.6
445,1,26,-0.630687118928583,22.9
445,1,27,-0.561604294367819,22.4
445,1,28,-0.155022529512678,42.1
445,1,29,1.0405055907537,87.8
445,1,30,-0.0150578485929238,50
445,1,31,0.809805075237253,82.8
445,1,32,-0.268657442181502,37.2
445,1,33,-0.866880709323541,17.4
445,1,34,0.35479822158158,70.8
445,1,35,0.204707352617236,66.7
445,1,36,-0.649706440947991,21
445,1,37,0.114394032196479,56.3
445,1,38,0.128099754857042,60.3
445,1,39,-0.261413638341386,37.8
445,1,40,-0.0394558273175269,46.5
445,1,41,0.118982403387525,56.2
445,1,42,-0.911419446552237,14.7
445,1,43,-0.000374283170302578,49.9
445,1,44,0.582916549071254,77.6
445,1,45,0.367814058565022,70.7
445,1,46,0.0319837487178841,56.7
445,1,47,-1.05765461187541,11.9
445,1,48,-0.445466604262338,29.8
445,1,49,0.0294363394371879,56.1
445,2,1,-0.680987315519613,15.9
445,2,2,NaN,NaN
