Animal,Epoch,Cell,Dev_Ptnr_post,Pval_Ptnr_post
440,1,1,-0.634173652,19.6
440,1,2,0.95328913,87
440,1,3,0.708796402,81.9
440,1,4,-0.563806162,24.3
440,1,5,3.739731779,99.5
440,1,6,0.424734044,72.8
440,1,7,1.235063591,95.1
440,1,8,-1.060552473,6.2
440,1,9,3.156521749,98.8
440,1,10,-0.186807966,41.7
440,1,11,3.765768214,99.3
440,1,12,2.87563141,98.7
440,1,13,-0.203785159,45.1
440,1,14,0.901682314,85.3
440,1,15,2.012207811,95.8
440,1,16,-0.223372734,37.7
440,1,17,2.222158821,97.1
440,1,18,8.289653943,99.9
440,1,19,1.036141171,90.8
440,1,20,1.677578781,95.6
440,1,21,-0.108205305,44
440,1,22,-0.493802558,25.5
440,1,23,-0.300578948,31.4
440,1,24,0.47976138,80.6
440,1,25,0.904669306,83.3
440,1,26,0.004388016,53.5
440,1,27,-1.810812821,3.2
440,1,28,2.668174213,99.1
440,1,29,NaN,NaN
440,1,30,1.247847338,91.4
440,1,31,1.391959304,94.7
440,1,32,2.695207985,97.9
440,1,33,0.677559264,86.1
440,1,34,-0.760446124,14.7
440,1,35,4.500950778,99.4
440,1,36,4.806158175,99.8
440,1,37,-0.193641112,37.5
440,1,38,0.280864263,68.2
440,1,39,NaN,NaN
440,1,40,1.167038245,90
440,1,41,0.413586749,69.9
440,1,42,-0.048995953,47
440,1,43,-0.312540339,35.9
440,1,44,-0.757192028,15.5
440,2,1,0.775139278,85.1
440,2,2,-1.363883564,1.8
440,2,3,0.016814508,50.8
440,2,4,-6.810029029,0
440,2,5,2.471886157,99.2
440,2,6,0.035012659,48.8
440,2,7,3.076437862,99.6
440,2,8,5.612666549,99.7
440,2,9,1.884305498,98.2
440,2,10,0.643552448,92.6
440,2,11,0.187528895,55
440,2,12,0.259328519,58.8
440,2,13,-0.295478255,37.7
440,2,14,0.155682591,56.8
440,2,15,-0.578043812,26.7
440,2,16,0.873857435,81.8
440,2,17,19.62604942,100
440,2,18,0.467312406,67.7
440,2,19,-0.265347388,37
440,2,20,0.094406412,60
440,2,21,-0.317719499,36.7
440,2,22,-0.281856649,23
440,2,23,1.069641459,86.7
440,2,24,-1.416177749,7.8
440,3,1,NaN,NaN
440,3,2,NaN,NaN
440,3,3,-0.52232686,13.5
440,3,4,-0.055409842,51.2
440,3,5,-0.065467095,47.7
440,3,6,NaN,NaN
440,3,7,NaN,NaN
440,3,8,0.04164413,79.2
440,3,9,0.020054866,75.3
440,3,10,NaN,NaN
440,3,11,NaN,NaN
